,Unnamed: 0,TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,OrderDate,TransactionTime,ItemProfit,WeekID,DayID
1521,1521,T63893,1428,5/8/86,M,CHAMPARAN,4266.27,2016-02-08,91029.0,30.0,4,31
1594,1594,T64003,7350,15/3/87,M,BANGALORE,6.15,2016-02-08,1025.0,66.0,4,31
1615,1615,T64066,2153,5/7/95,M,PUNE,3028.32,2016-02-08,75743.0,500.0,4,31
1636,1636,T64093,1157,24/9/85,M,CHANDIGARH,75.8,2016-02-08,81237.0,246.0,4,31
1723,1723,T64207,3248,8/10/91,M,NEW DELHI,35.82,2016-02-08,2227.0,20.0,4,31
1747,1747,T64253,1670,5/6/88,M,PUNE,151.19,2016-02-08,40543.0,150.0,4,31
1753,1753,T64259,4018,26/4/88,M,BANGALORE,5732.65,2016-02-08,222322.0,305.0,4,31
1772,1772,T64282,4596,15/6/85,M,NEW DELHI,3770.74,2016-02-08,75941.0,237.0,4,31
1798,1798,T64312,3041,19/6/92,M,DELHI,6867.97,2016-02-08,91729.0,10.0,4,31
1810,1810,T64327,5428,28/11/80,M,PATNA,221847.57,2016-02-08,84038.0,102.0,4,31
1826,1826,T64350,797,8/6/91,M,PURI,12057.77,2016-02-08,100737.0,100.0,4,31
1858,1858,T64414,6225,7/5/82,M,NEW DELHI,6117.87,2016-02-08,223534.0,320.0,4,31
1957,1957,T64558,3895,6/11/90,M,THANE,43035.52,2016-02-08,102158.0,120.0,4,31
1982,1982,T64592,1497,3/6/86,M,HOSUR,28716.39,2016-02-08,104244.0,255.0,4,31
1984,1984,T64594,3711,27/4/85,M,JHAJJAR,10604.84,2016-02-08,105058.0,398.0,4,31
2024,2024,T64699,3155,27/1/94,M,BELGAUM,7291.2,2016-02-08,82014.0,246.0,4,31
2037,2037,T64719,3302,9/9/89,M,BANGALORE,66510.53,2016-02-08,131634.0,27.51,4,31
2061,2061,T64748,4494,26/5/92,M,DELHI,12537.11,2016-02-08,50330.0,33.0,4,31
2063,2063,T64751,1860,31/10/72,M,NEW DELHI,30583.55,2016-02-08,91313.0,400.0,4,31
2096,2096,T64791,6406,1/8/82,F,MUMBAI,37398.76,2016-02-08,95224.0,120.0,4,31
2106,2106,T64805,5753,22/10/90,M,GOPALPURI TALUKA-ANJAR GANDHIDHAM,28684.46,2016-02-08,95052.0,110.0,4,31
2140,2140,T64846,4909,17/7/86,M,DELHI,25621.33,2016-02-08,103643.0,250.0,4,31
2143,2143,T64849,3938,4/1/99,M,BAREILLY,12157.53,2016-02-08,111918.0,10.0,4,31
2159,2159,T64876,6530,10/7/76,M,MUMBAI,16198.46,2016-02-08,143118.0,335.0,4,31
2168,2168,T64888,5538,27/9/84,M,MUMBAI,114.22,2016-02-08,120735.0,200.0,4,31
2243,2243,T64990,5869,5/11/82,M,BANGALORE,14.0,2016-02-08,155714.0,100.0,4,31
2248,2248,T64995,3511,8/8/92,M,KHARAR,10524.27,2016-02-08,104030.0,93.0,4,31
2251,2251,T64999,4253,24/8/87,F,BANK VISAKHAPATNAM,1810.16,2016-02-08,111625.0,885.0,4,31
2259,2259,T65007,2235,26/12/81,M,BANGALORE,45648.19,2016-02-08,111834.0,256.0,4,31
2285,2285,T65039,2870,24/3/91,M,VISHAKHAPATNAM,7714.08,2016-02-08,114814.0,240.0,4,31
2287,2287,T65045,83,22/6/72,M,GURGAON,15787.12,2016-02-08,112811.0,200.0,4,31
2311,2311,T65080,4435,2/5/85,F,SURAT,23.07,2016-02-08,113030.0,152.0,4,31
2317,2317,T65089,5122,28/8/84,M,RUDRAPUR,1119.41,2016-02-08,81328.0,1000.0,4,31
2364,2364,T65152,4337,20/10/91,F,NEW DELHI,31106.05,2016-02-08,150110.0,939.0,4,31
2374,2374,T65163,5431,21/9/82,F,MUMBAI,59085.37,2016-02-08,143207.0,1388.0,4,31
2412,2412,T65210,6227,26/8/84,M,DELHI,47880.69,2016-02-08,110754.0,400.0,4,31
2416,2416,T65216,7284,25/1/89,M,TUTICORIN,18745.3,2016-02-08,113356.0,110.0,4,31
2420,2420,T65221,5027,1/11/97,M,FATEHABAD,85424.56,2016-02-08,115412.0,72.0,4,31
2484,2484,T65306,6628,21/6/93,F,HYDERABAD,1409.53,2016-02-08,150015.0,730.0,4,31
2547,2547,T65393,234,15/12/65,F,FARIDABAD,10026.03,2016-02-08,120958.0,640.0,4,31
2590,2590,T65449,4969,10/1/93,F,GWALIOR,3712.28,2016-02-08,114108.0,40.0,4,31
2600,2600,T65465,2470,11/8/80,M,JAIPUR,24867.55,2016-02-08,150824.0,26.0,4,31
2627,2627,T65499,3683,1/1/1800,M,MUMBAI,6225.25,2016-02-08,155822.0,760.0,4,31
2647,2647,T65528,2813,26/6/92,M,CHANDIGARH,4602.32,2016-02-08,111037.0,20.0,4,31
2677,2677,T65572,2868,1/1/1800,M,NEW DELHI,39112.59,2016-02-08,120029.0,740.0,4,31
2806,2806,T65743,5578,27/10/93,F,BANGALORE,2957.99,2016-02-08,115901.0,190.0,4,31
2903,2903,T65868,2629,31/3/93,F,BHOPAL,20278.53,2016-02-08,54810.0,100.0,4,31
2940,2940,T65914,1800,22/11/93,M,HOSUR,18.66,2016-02-08,124153.0,20.0,4,31
2971,2971,T65961,5011,4/2/89,M,NEW DELHI,177692.89,2016-02-08,105710.0,251.87,4,31
3025,3025,T66033,5516,1/1/1800,F,NAVI MUMBAI,1312861.93,2016-02-08,120900.0,630.0,4,31
3051,3051,T66072,7353,26/6/90,M,KOPPAL,89.91,2016-02-08,122054.0,352.61,4,31
3096,3096,T66133,2738,14/1/85,M,MARG LOWER PAREL MUMBAI,4867.37,2016-02-08,104032.0,419.0,4,31
3125,3125,T66181,2532,6/3/86,M,GURGAON,2141.02,2016-02-08,114508.0,300.0,4,31
3186,3186,T66256,6916,7/2/92,M,GHAZIABAD,18902.63,2016-02-08,113030.0,150.0,4,31
3209,3209,T66286,1133,29/10/94,M,BANGALORE,24519.66,2016-02-08,110057.0,149.0,4,31
3250,3250,T66348,5731,15/2/93,F,MUMBAI,13780.83,2016-02-08,54543.0,30.0,4,31
3298,3298,T66421,7028,21/3/77,M,BANGALORE,33200.09,2016-02-08,121602.0,336.0,4,31
3315,3315,T66445,3925,21/3/92,M,MUMBAI,38897.45,2016-02-08,121051.0,371.25,4,31
3336,3336,T66472,2374,16/7/93,M,JHANSI,24523.12,2016-02-08,103830.0,160.0,4,31
3380,3380,T66528,283,29/5/69,F,BHIWADI,40266.2,2016-02-08,111939.0,800.0,4,31
3391,3391,T66544,1857,1/5/93,M,LIMBASI,10443.35,2016-02-08,113604.0,109.0,4,31
3436,3436,T66615,2084,23/12/55,F,NEW DELHI,9502.15,2016-02-08,141152.0,300.0,4,31
3441,3441,T66621,1120,19/8/91,M,WEST SINGHBHUM,15608.49,2016-02-08,104012.0,100.0,4,31
3449,3449,T66633,887,12/5/93,M,AHMEDABAD,25734.09,2016-02-08,102834.0,100.0,4,31
3476,3476,T66672,6841,28/3/90,F,BHANDARA,66668.13,2016-02-08,112821.0,222.0,4,31
3494,3494,T66699,4519,21/10/85,M,HYDERABAD,13.77,2016-02-08,121101.0,100.0,4,31
3519,3519,T66735,3474,18/5/96,M,ALIGARH,34102.31,2016-02-08,21237.0,370.0,4,31
3525,3525,T66745,2702,8/3/94,M,BAHADURGARH,29454.7,2016-02-08,130405.0,186.0,4,31
3534,3534,T66761,962,12/3/81,M,BENGALURU,18383.87,2016-02-08,143242.0,500.0,4,31
3584,3584,T66819,4585,14/7/81,M,ASANSOL,66639.89,2016-02-08,120400.0,250.0,4,31
3606,3606,T66843,5790,29/3/89,M,GURGAON,890219.28,2016-02-08,120621.0,232.0,4,31
3614,3614,T66856,2774,13/12/94,M,AMRITSAR,63.8,2016-02-08,122446.0,239.96,4,31
3726,3726,T67006,3822,25/1/92,M,GURGAON,11517.25,2016-02-08,115155.0,85.0,4,31
3732,3732,T67014,831,1/1/1800,M,PUNE,12696.56,2016-02-08,120202.0,137.0,4,31
3769,3769,T67058,5967,9/7/86,F,BANGALORE,2144.77,2016-02-08,113516.0,500.0,4,31
3808,3808,T67109,1186,21/8/90,F,PRAKASAM,3955.48,2016-02-08,103901.0,100.0,4,31
3810,3810,T67113,5948,29/6/97,F,DELHI,12065.55,2016-02-08,103443.0,297.0,4,31
3901,3901,T67228,3890,2/7/90,M,NEW DELHI,15985.6,2016-02-08,150409.0,214.83,4,31
3970,3970,T67332,7109,27/1/86,F,COLLEGE PUNE,79527.77,2016-02-08,121136.0,500.0,4,31
4023,4023,T67403,1260,13/1/89,M,BENGALURU,10874.66,2016-02-08,124459.0,300.0,4,31
4080,4080,T67482,3236,15/6/87,M,TURUVEKERE,86.84,2016-02-08,121009.0,500.0,4,31
4104,4104,T67513,4640,24/2/92,M,NEW DELHI,5527.11,2016-02-08,172728.0,357.0,4,31
4109,4109,T67521,3203,13/9/95,F,NEW DELHI,10053.89,2016-02-08,132344.0,259.0,4,31
4118,4118,T67532,5014,6/8/91,M,MEERUT,45856.24,2016-02-08,131419.0,712.0,4,31
4151,4151,T67580,6319,16/4/92,M,PANVEL,14821.4,2016-02-08,141158.0,400.0,4,31
4163,4163,T67600,5554,13/8/90,M,BAPAT MARG LOWER PAREL WORLI MUMBAI,7680.08,2016-02-08,134542.0,437.0,4,31
4164,4164,T67601,3719,21/3/91,M,KOLKATA,1354.23,2016-02-08,134609.0,80.0,4,31
4169,4169,T67607,6269,9/2/82,M,CHENNAI,7161.58,2016-02-08,140745.0,470.0,4,31
4179,4179,T67627,5382,27/2/78,F,NEW DELHI,30269.68,2016-02-08,144203.0,1050.0,4,31
4189,4189,T67641,1096,7/9/87,M,BANGALORE,240.36,2016-02-08,142734.0,305.0,4,31
4191,4191,T67643,362,15/10/91,M,NOIDA,104733.77,2016-02-08,143322.0,480.0,4,31
4275,4275,T67762,5829,22/12/93,M,GURDASPUR,563.39,2016-02-08,135639.0,144.0,4,31
4295,4295,T67801,4926,29/6/88,F,POINTS HOTEL VADGAONSHERI PUNE,6403.46,2016-02-08,141032.0,200.0,4,31
4322,4322,T67837,231,4/1/87,M,GURGAON,12948.11,2016-02-08,181038.0,220.0,4,31
4382,4382,T67920,5129,29/3/87,M,KOLKATA,76989.87,2016-02-08,71839.0,215.0,4,31
4416,4416,T67971,3107,20/8/86,F,KOLKATA,14764.51,2016-02-08,140616.0,83.0,4,31
4433,4433,T67991,5739,14/3/95,M,DELHI,2843.07,2016-02-08,141237.0,160.0,4,31
4464,4464,T68040,4721,28/7/89,M,ANDHERI LINK RD ANDHERI W MUMBAI,86.46,2016-02-08,115001.0,50.0,4,31
4509,4509,T68102,844,10/10/67,F,CHENNAI,111198.2,2016-02-08,141402.0,1008.0,4,31
4521,4521,T68118,5398,22/6/80,F,DELHI,7257.77,2016-02-08,135842.0,655.0,4,31
4577,4577,T68202,6119,24/8/76,M,NEW DELHI,38684.14,2016-02-08,180742.0,1100.0,4,31
4673,4673,T68341,3776,1/1/1800,M,KHARAR,123441.95,2016-02-08,134617.0,100.0,4,31
4705,4705,T68387,6255,3/10/87,M,GUWAHATI,1280.7,2016-02-08,142919.0,74.0,4,31
4708,4708,T68390,1078,25/10/94,M,GURGAON,36.33,2016-02-08,143422.0,572.0,4,31
4756,4756,T68449,453,10/7/76,M,MUMBAI,16198.46,2016-02-08,133720.0,640.0,4,31
4805,4805,T68515,3545,31/8/86,F,HOBBLI BANGALORE,10877.13,2016-02-08,145640.0,1119.0,4,31
4863,4863,T68601,7143,9/11/89,M,BANGALORE,11663.85,2016-02-08,130414.0,45.0,4,31
4868,4868,T68607,149,8/10/92,M,PATNA,3563.44,2016-02-08,122407.0,100.0,4,31
4894,4894,T68643,3006,24/4/71,M,KOLKATA,1127.21,2016-02-08,123921.0,1318.0,4,31
4933,4933,T68697,4465,8/2/83,M,THANE,45757.24,2016-02-08,141417.0,558.0,4,31
4989,4989,T68774,4940,29/5/66,M,MOGA,21839.05,2016-02-08,130940.0,390.0,4,31
4999,4999,T68789,4779,15/10/93,M,TEHRI GARHWAL,3304.52,2016-02-08,122213.0,156.0,4,31
5001,5001,T68791,7262,9/12/84,M,DELHI,1505.85,2016-02-08,123944.0,1149.0,4,31
5014,5014,T68806,6804,16/9/91,M,NEW DELHI,17811.9,2016-02-08,131839.0,300.0,4,31
5085,5085,T68902,3962,28/9/94,F,MUMBAI,1546.48,2016-02-08,141148.0,100.0,4,31
5102,5102,T68928,2760,16/12/83,M,FARIDABAD,1591.19,2016-02-08,144853.0,1000.0,4,31
5137,5137,T68979,4035,12/2/78,M,GURGAON,203270.68,2016-02-08,141451.0,930.0,4,31
5147,5147,T68993,4596,7/6/60,M,INDORE,18550.15,2016-02-08,131541.0,490.0,4,31
5156,5156,T69003,6693,1/1/88,M,DELHI,81630.8,2016-02-08,124147.0,1145.0,4,31
5184,5184,T69038,2360,26/5/92,M,DELHI,12537.11,2016-02-08,143840.0,14.0,4,31
5241,5241,T69118,4326,20/6/84,M,CHICKMAGALORE,16065.14,2016-02-08,121421.0,254.0,4,31
5243,5243,T69120,1018,11/11/62,M,MUSCAT,5820.81,2016-02-08,122012.0,90.0,4,31
5282,5282,T69180,4016,23/5/84,M,NAVI MUMBAI,16647.78,2016-02-08,134634.0,400.0,4,31
5350,5350,T69278,1177,28/11/84,M,NEW DELHI,33108.08,2016-02-08,143523.0,763.0,4,31
5392,5392,T69338,6363,20/3/88,F,NEW DELHI,25000.01,2016-02-08,100636.0,125.39,4,31
5426,5426,T69380,4610,11/7/92,M,NOWGONG,106815.11,2016-02-08,135914.0,200.0,4,31
5587,5587,T69611,6438,30/7/95,M,COLONY RANGAREDDI,15592.42,2016-02-08,132325.0,300.0,4,31
5593,5593,T69619,2477,19/8/91,F,GURGAON,176164.36,2016-02-08,175630.0,1002.79,4,31
5610,5610,T69649,2216,15/8/79,M,MEERUT,8263.16,2016-02-08,143858.0,270.0,4,31
5651,5651,T69711,4685,5/4/91,F,MUMBAI,18048.9,2016-02-08,135405.0,369.0,4,31
5683,5683,T69753,4605,10/6/96,M,DIST NASHIK,2051.07,2016-02-08,145248.0,208.0,4,31
5732,5732,T69825,5463,4/6/81,M,MANDYA,77168.01,2016-02-08,150447.0,417.0,4,31
5755,5755,T69856,3854,12/10/94,F,NOIDA,5276.47,2016-02-08,72901.0,259.0,4,31
5836,5836,T69967,5985,22/8/78,M,MUMBAI,5997.38,2016-02-08,175651.0,1138.0,4,31
5876,5876,T70027,1625,6/8/91,M,MEERUT,45856.24,2016-02-08,130518.0,655.0,4,31
5982,5982,T70182,2925,15/2/89,F,CHANDIGARH,11891.82,2016-02-08,143526.0,1259.0,4,31
5990,5990,T70190,3701,8/10/84,F,SAS NAGAR,60713.14,2016-02-08,145753.0,50.0,4,31
6031,6031,T70249,5027,13/6/92,M,AURANGABAD,10085.32,2016-02-08,140227.0,200.0,4,31
6051,6051,T70274,6957,22/12/83,M,GURGAON,431482.53,2016-02-08,124553.0,1087.0,4,31
6171,6171,T70449,272,29/3/73,F,AMRITSAR,20.0,2016-02-08,61030.0,84.0,4,31
6199,6199,T70488,5457,7/4/93,M,MARKAPUR,407.5,2016-02-08,153927.0,328.0,4,31
6202,6202,T70491,5587,7/6/83,M,PUNE,1374.02,2016-02-08,154543.0,104.0,4,31
6206,6206,T70495,4156,11/2/84,M,ANANTAPUR,85762.86,2016-02-08,153227.0,1300.0,4,31
6218,6218,T70516,1102,19/4/89,F,PUNE,19981.79,2016-02-08,161655.0,899.0,4,31
6267,6267,T70584,3857,1/1/1800,,MUMBAI,216.0,2016-02-08,150815.0,70.0,4,31
6282,6282,T70602,813,12/1/88,M,CHENNAI,2183.15,2016-02-08,55125.0,50.0,4,31
6320,6320,T70650,416,3/3/94,M,NEW DELHI,59011.98,2016-02-08,153941.0,200.0,4,31
6324,6324,T70654,616,19/6/76,M,CHENNAI,2095.74,2016-02-08,154956.0,600.0,4,31
6451,6451,T70808,7272,22/11/95,F,MUMBAI,2543.26,2016-02-08,184729.0,1050.0,4,31
6457,6457,T70815,5864,18/11/91,F,GURGAON,17396.93,2016-02-08,132618.0,50.0,4,31
6597,6597,T71026,5550,2/9/69,F,GURGAON,631030.56,2016-02-08,152731.0,249.0,4,31
6615,6615,T71050,7300,19/1/89,M,MUMBAI,3562.15,2016-02-08,165810.0,226.0,4,31
6668,6668,T71123,6776,31/1/89,M,JAIPUR,384334.59,2016-02-08,155647.0,200.0,4,31
6825,6825,T71358,6109,16/7/87,M,NAVI MUMBAI,12409.2,2016-02-08,165839.0,499.0,4,31
6832,6832,T71368,565,20/12/76,M,PUNE,16987.35,2016-02-08,152604.0,1000.0,4,31
6907,6907,T71486,5736,18/10/89,F,BANGALORE,23903.89,2016-02-08,172929.0,978.0,4,31
7045,7045,T71686,4396,26/5/89,M,MUMBAI,49275.87,2016-02-08,162718.0,32.0,4,31
7052,7052,T71695,5915,26/6/86,F,GURGAON,23838.65,2016-02-08,172135.0,685.0,4,31
7104,7104,T71780,1885,17/2/74,M,NEW DELHI,962833.57,2016-02-08,150241.0,427.0,4,31
7105,7105,T71781,1815,26/10/93,M,GURGAON,22544.88,2016-02-08,150518.0,100.0,4,31
7207,7207,T71924,7349,23/12/84,M,HANUMANGARH,0.27,2016-02-08,175354.0,930.0,4,31
7255,7255,T71995,6903,3/5/88,M,PUNE,0.45,2016-02-08,150839.0,10.0,4,31
7263,7263,T72005,1013,4/7/89,M,REWARI (HARYANA),168.34,2016-02-08,155538.0,50.0,4,31
7266,7266,T72008,6929,24/4/78,M,ALWAR,21651.79,2016-02-08,162743.0,99.0,4,31
7271,7271,T72013,1488,11/8/88,M,MUMBAI,30561.11,2016-02-08,150844.0,400.0,4,31
7308,7308,T72061,3476,10/5/73,M,HYDERABAD,1031298.58,2016-02-08,172647.0,1163.96,4,31
7312,7312,T72065,1733,1/1/72,M,NEW DELHI,235.34,2016-02-08,153346.0,200.0,4,31
7327,7327,T72082,4679,26/1/90,M,GAYA,15843.92,2016-02-08,162533.0,100.0,4,31
7343,7343,T72105,4731,12/12/93,M,PANIPAT,1442.85,2016-02-08,162703.0,399.0,4,31
7377,7377,T72148,3987,21/1/89,M,GHAZIABAD,165296.5,2016-02-08,174132.0,1300.0,4,31
7422,7422,T72213,675,8/1/69,F,HOWRAH,242331.04,2016-02-08,163317.0,899.0,4,31
7423,7423,T72214,1713,15/7/91,M,BANGALORE,83322.13,2016-02-08,162215.0,940.0,4,31
7463,7463,T72264,646,18/2/81,F,NEW DELHI,71612.74,2016-02-08,172824.0,291.36,4,31
7492,7492,T72304,1083,7/6/92,M,FIROZABAD,164013.01,2016-02-08,115111.0,500.0,4,31
7564,7564,T72406,2730,14/6/86,M,CHENNAI,4233.06,2016-02-08,151417.0,380.0,4,31
7570,7570,T72415,2274,11/3/85,F,BANGALORE,6488.9,2016-02-08,151918.0,180.0,4,31
7590,7590,T72442,7205,17/5/92,F,NEW DELHI,15172.5,2016-02-08,165402.0,325.0,4,31
7663,7663,T72537,4160,14/10/92,M,WEST MUMBAI SAKINAKA,19687.42,2016-02-08,191459.0,147.0,4,31
7724,7724,T72634,6165,10/12/92,M,BAHADURGARH,0.23,2016-02-08,152937.0,10.0,4,31
7763,7763,T72692,6178,1/7/78,F,BANGALORE,44215.24,2016-02-08,160725.0,1000.0,4,31
7770,7770,T72701,736,14/1/95,M,BANGALORE,2075.93,2016-02-08,184657.0,347.0,4,31
7787,7787,T72723,1254,9/3/70,M,TEZPUR,2.4,2016-02-08,113004.0,200.0,4,31
7817,7817,T72765,7187,19/3/93,M,RAIPUR,110709.69,2016-02-08,165127.0,699.0,4,31
7852,7852,T72816,327,5/10/48,F,BANGALORE,543426.28,2016-02-08,162058.0,868.2,4,31
7912,7912,T72897,7257,6/11/76,F,MOHALI,11808.64,2016-02-08,173322.0,1500.0,4,31
7952,7952,T72952,1859,30/7/86,M,THANE,31860.52,2016-02-08,153115.0,688.85,4,31
7955,7955,T72958,6853,24/3/79,F,VISAKHAPATNAM,491954.54,2016-02-08,164825.0,950.0,4,31
7979,7979,T72995,7054,20/6/87,M,NOIDA,55101.51,2016-02-08,154139.0,235.0,4,31
8001,8001,T73028,4134,31/7/71,F,CHENNAI,138741.09,2016-02-08,172258.0,450.0,4,31
8010,8010,T73042,5925,11/12/79,M,HYDERABAD,19088.7,2016-02-08,155659.0,649.0,4,31
8028,8028,T73064,7266,16/4/88,M,CHENNAI,16971.46,2016-02-08,163532.0,400.0,4,31
8061,8061,T73111,7074,12/10/91,M,MUMBAI,13706.52,2016-02-08,113622.0,100.0,4,31
8135,8135,T73208,7257,1/3/89,F,CHAURACHANDPUR,9130.85,2016-02-08,154653.0,178.0,4,31
8149,8149,T73222,1514,16/11/91,M,LUCKNOW,2910.57,2016-02-08,162102.0,37.26,4,31
8154,8154,T73229,2782,29/10/84,F,BANGALORE,25018.57,2016-02-08,161603.0,754.0,4,31
8168,8168,T73249,5051,6/6/92,F,BANGALORE,37986.18,2016-02-08,172905.0,539.28,4,31
8202,8202,T73302,1498,20/7/82,M,NEW DELHI,89863.37,2016-02-08,190802.0,702.0,4,31
8240,8240,T73365,5437,26/1/85,M,GHAZIABAD,31014.17,2016-02-08,155757.0,200.0,4,31
8241,8241,T73366,1366,3/1/86,M,HYDERABAD,31.81,2016-02-08,153105.0,168.67,4,31
8293,8293,T73430,4369,28/11/90,F,CHURACHANDPUR,9566.49,2016-02-08,161042.0,10.0,4,31
8314,8314,T73464,949,3/3/87,M,NEW DELHI,63911.56,2016-02-08,104408.0,300.0,4,31
8375,8375,T73544,2620,1/10/89,M,GORAKHPUR,32936.98,2016-02-08,180222.0,50.0,4,31
8398,8398,T73574,1834,7/5/78,M,NEW DELHI,292.63,2016-02-08,204510.0,236.0,4,31
8449,8449,T73644,6907,4/5/90,M,NAINITAL,4558.84,2016-02-08,130624.0,270.0,4,31
8480,8480,T73688,4289,16/8/88,F,NOIDA,81126.69,2016-02-08,192405.0,180.0,4,31
8482,8482,T73691,563,7/8/84,M,MUMBAI,16061.22,2016-02-08,202436.0,200.0,4,31
8487,8487,T73700,311,10/8/50,F,KOLKATA,83965.95,2016-02-08,214712.0,10.0,4,31
8504,8504,T73728,3259,27/9/70,M,BAMBOLIM,10631.34,2016-02-08,181642.0,749.0,4,31
